5,297.7,7,491,534,,,,,,,,,,,,,,,,6,762,433
6,308.8,8,491,535,,,,,,,,,,,,,,,,7,762,433
7,323.9,8,491,534,,,,,,,,,,,,,,,,7,762,433
8,336,8,491,534,,,,,,,,,,,,,,,,7,762,433
9,346.4,8,491,535,,,,,,,,,,,,,,,,7,762,433
10,361.9,8,491,535,,,,,,,,,,,,,,,,7,762,433
11,378.3,8,491,534,,,,,,,,,,,,,,,,7,762,433
12,413.9,8,491,534,,,,,,,,,,,,,,,,7,762,433
13,445.8,8,491,534,,,,,,,,,,,,,,,,7,762,433
14,478,8,491,534,,,,,,,,,,,,,,,,7,762,433
15,513.9,8,491,534,,,,,,,,,,,,,,,,6,762,433
16,545.9,8,491,534,,,,,,,,,,,,,,,,7,762,433
17,578.8,8,491,534,,,,,,,,,,,,,,,,7,762,433
18,617,8,491,534,,,,,,,,,,,,,,,,7,762,433
19,646.6,8,491,534,,,,,,,,,,,,,,,,7,762,433
20,679,8,491,535,,,,,,,,,,,,,,,,7,762,433
21,716.1,8,491,534,,,,,,,,,,,,,,,,7,762,433
22,746.6,8,491,534,,,,,,,,,,,,,,,,7,762,433
23,778.3,8,491,535,,,,,,,,,,,,,,,,7,762,433
24,814.2,8,491,534,,,,,,,,,,,,,,,,7,762,433
25,846,8,491,535,,,,,,,,,,,,,,,,7,762,433
26,878.5,8,491,535,,,,,,,,,,,,,,,,7,762,433
27,913.6,8,491,534,,,,,,,,,,,,,,,,7,763,433
28,945.9,8,491,534,,,,,,,,,,,,,,,,7,763,433
29,978,8,491,534,,,,,,,,,,,,,,,,7,762,433
30,1014.1,8,491,535,,,,,,,,,,,,,,,,7,762,433
31,1046.1,8,490,534,,,,,,,,,,,,,,,,7,762,433
32,1078,8,491,534,,,,,,,,,,,,,,,,7,762,433
33,1113.9,8,491,534,,,,,,,,,,,,,,,,7,763,433
34,1148.8,8,491,534,,,,,,,,,,,,,,,,7,762,433
35,1178.6,8,491,534,,,,,,,,,,,,,,,,7,762,433
36,1213.7,8,490,534,,,,,,,,,,,,,,,,7,762,433
37,1246.1,8,491,534,,,,,,,,,,,,,,,,7,762,433
38,1277.9,8,491,534,,,,,,,,,,,,,,,,7,762,433
39,1313.5,8,491,534,,,,,,,,,,,,,,,,7,762,433
40,1346,8,491,534,,,,,,,,,,,,,,,,7,762,433
41,1378.2,8,491,534,,,,,,,,,,,,,,,,7,762,433
42,1416.8,8,491,534,,,,,,,,,,,,,,,,7,762,433
43,1446.2,8,491,534,,,,,,,,,,,,,,,,7,762,433
44,1478.5,8,491,534,,,,,,,,,,,,,,,,7,762,433
45,1513.9,8,491,535,,,,,,,,,,,,,,,,7,763,433
46,1546.6,8,491,534,,,,,,,,,,,,,,,,7,762,433
47,1578.3,8,491,534,,,,,,,,,,,,,,,,7,763,433
48,1613.9,8,491,534,,,,,,,,,,,,,,,,7,762,433
49,1646.3,8,491,534,,,,,,,,,,,,,,,,7,762,433
50,1678.4,8,491,534,,,,,,,,,,,,,,,,7,762,433
51,1713.7,8,491,535,,,,,,,,,,,,,,,,7,763,433
52,1746.9,8,491,535,,,,,,,,,,,,,,,,7,762,433
53,1777.9,8,491,534,,,,,,,,,,,,,,,,7,763,433
