frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
57,8084.5,8,372,630,,,,,,,9,343,792,,,,,,,,,,,,,,,,,,,,,,,,
64,9168.6,6,988,279,,,,,,,,,,,,,,,,5,803,415,,,,,,,,,,,,,,,
65,9251.5,8,983,248,,,,,,,9,989,411,,,,,,,7,827,418,,,,,,,,,,,,,,,
66,9291.4,8,983,246,,,,,,,9,985,409,,,,,,,7,822,410,,,,,,,,,,,,,,,
67,9500.5,8,987,242,,,,,,,9,959,403,,,,,,,7,799,376,,,,,,,,,,,,,,,
68,9547.5,8,987,242,,,,,,,9,954,402,,,,,,,7,795,369,,,,,,,,,,,,,,,
69,9752.3,8,984,238,,,,,,,9,931,393,,,,,,,8,778,341,,,,,,,,,,,,,,,
70,10044.4,8,982,237,,,,,,,8,903,382,,,,,,,8,761,305,,,,,,,,,,,,,,,
71,10376.3,8,981,243,,,,,,,9,877,370,,,,,,,8,752,268,,,,,,,,,,,,,,,
72,10792.5,8,984,257,,,,,,,9,854,357,,,,,,,8,756,230,,,,,,,,,,,,,,,
73,10835.4,8,984,257,,,,,,,9,852,356,,,,,,,8,757,227,,,,,,,,,,,,,,,
74,10883.4,8,984,258,,,,,,,9,850,355,,,,,,,8,757,224,,,,,,,,,,,,,,,
75,11084.3,8,985,265,,,,,,,9,842,348,,,,,,,8,762,209,,,,,,,,,,,,,,,
76,11167.6,8,985,268,,,,,,,9,840,346,,,,,,,8,765,204,,,,,,,,,,,,,,,
77,11544.1,8,987,282,,,,,,,9,832,336,,,,,,,8,781,183,,,,,,,,,,,,,,,
78,11593.2,8,987,284,,,,,,,9,831,335,,,,,,,8,783,182,,,,,,,,,,,,,,,
79,11627.4,8,988,285,,,,,,,9,830,334,,,,,,,8,785,179,,,,,,,,,,,,,,,
80,11751.1,8,989,292,,,,,,,9,828,331,,,,,,,8,792,174,,,,,,,,,,,,,,,
81,11915.6,8,990,301,,,,,,,9,827,328,,,,,,,8,803,168,,,,,,,,,,,,,,,
82,12208.4,8,992,318,,,,,,,9,827,322,,,,,,,8,826,160,,,,,,,,,,,,,,,
83,12255.0,8,992,320,,,,,,,9,827,322,,,,,,,8,828,160,,,,,,,,,,,,,,,
84,12416.6,9,990,321,,,,,,,9,826,327,,,,,,,8,823,165,,,,,,,,,,,,,,,
85,12792.2,8,991,331,,,,,,,9,827,342,,,,,,,8,818,181,,,,,,,,,,,,,,,
86,12832.5,8,991,333,,,,,,,9,827,345,,,,,,,8,818,183,,,,,,,,,,,,,,,
87,12959.5,8,991,339,,,,,,,9,826,350,,,,,,,8,819,188,,,,,,,,,,,,,,,
88,13083.6,8,991,346,,,,,,,9,826,356,,,,,,,8,821,195,,,,,,,,,,,,,,,
89,13252.0,8,992,358,,,,,,,9,827,364,,,,,,,8,824,203,,,,,,,,,,,,,,,
90,13375.1,8,992,368,,,,,,,8,827,371,,,,,,,8,828,209,,,,,,,,,,,,,,,
91,13668.2,8,991,387,,,,,,,9,827,393,,,,,,,8,823,231,,,,,,,,,,,,,,,
92,13791.2,8,991,396,,,,,,,9,826,403,,,,,,,8,822,242,,,,,,,,,,,,,,,
93,13875.2,8,992,403,,,,,,,9,827,411,,,,,,,8,822,250,,,,,,,,,,,,,,,
94,14040.7,8,992,419,,,,,,,9,827,426,,,,,,,8,823,265,,,,,,,,,,,,,,,
95,14123.2,8,992,429,,,,,,,9,827,433,,,,,,,8,825,272,,,,,,,,,,,,,,,
96,14712.6,8,993,496,,,,,,,9,827,500,,,,,,,7,825,339,,,,,,,,,,,,,,,
97,14749.5,8,993,501,,,,,,,9,827,505,,,,,,,8,825,344,,,,,,,,,,,,,,,
98,14876.3,8,993,519,,,,,,,9,828,521,,,,,,,8,827,360,,,,,,,,,,,,,,,
99,14955.4,8,994,531,,,,,,,8,827,531,,,,,,,7,828,371,,,,,,,,,,,,,,,
100,15248.8,7,993,573,,,,,,,8,827,575,,,,,,,7,826,415,,,,,,,,,,,,,,,
101,15331.2,8,993,587,,,,,,,8,827,589,,,,,,,7,827,427,,,,,,,,,,,,,,,
102,15500.2,7,994,615,,,,,,,8,828,616,,,,,,,7,827,455,,,,,,,,,,,,,,,
103,15623.2,7,994,637,,,,,,,8,828,639,,,,,,,7,826,477,,,,,,,,,,,,,,,
104,15665.6,7,994,644,,,,,,,8,828,646,,,,,,,7,826,485,,,,,,,,,,,,,,,
105,15876.6,7,995,684,,,,,,,8,829,684,,,,,,,7,827,523,,,,,,,,,,,,,,,
106,15955.7,7,995,702,,,,,,,8,829,701,,,,,,,7,828,539,,,,,,,,,,,,,,,
107,16083.9,7,994,727,,,,,,,8,829,728,,,,,,,6,827,565,,,,,,,,,,,,,,,
108,16124.6,7,995,736,,,,,,,8,829,737,,,,,,,6,827,574,,,,,,,,,,,,,,,
109,16164.1,7,995,745,,,,,,,9,829,746,,,,,,,5,827,583,,,,,,,,,,,,,,,
110,16417.1,7,996,802,,,,,,,9,829,802,,,,,,,,,,,,,,,,,,,,,,,,
111,16457.7,7,996,813,,,,,,,8,830,812,,,,,,,,,,,,,,,,,,,,,,,,
112,16583.4,7,996,844,,,,,,,8,830,844,,,,,,,,,,,,,,,,,,,,,,,,
113,16663.7,7,996,866,,,,,,,8,831,867,,,,,,,,,,,,,,,,,,,,,,,,
114,16792.2,7,996,900,,,,,,,8,832,901,,,,,,,,,,,,,,,,,,,,,,,,
115,16834.1,7,997,911,,,,,,,8,832,912,,,,,,,,,,,,,,,,,,,,,,,,
116,16956.0,7,996,948,,,,,,,8,832,948,,,,,,,,,,,,,,,,,,,,,,,,
117,17039.2,7,997,973,,,,,,,9,832,973,,,,,,,,,,,,,,,,,,,,,,,,
118,17083.1,7,997,986,,,,,,,9,832,986,,,,,,,,,,,,,,,,,,,,,,,,
119,17208.0,8,996,993,,,,,,,9,832,1004,,,,,,,7,823,839,,,,,,,,,,,,,,,
120,17331.5,8,995,977,,,,,,,9,832,1001,,,,,,,7,808,838,,,,,,,,,,,,,,,
121,17455.4,8,993,962,,,,,,,8,834,1000,,,,,,,7,796,839,,,,,,,,,,,,,,,
122,17579.4,8,992,950,,,,,,,9,835,1000,,,,,,,7,786,842,,,,,,,,,,,,,,,
123,18252.8,8,991,932,,,,,,,9,840,999,,,,,,,7,773,848,,,,,,,,,,,,,,,
124,18416.0,8,991,938,,,,,,,9,839,1000,,,,,,,7,778,846,,,,,,,,,,,,,,,
125,18499.1,8,991,941,,,,,,,9,838,1000,,,,,,,7,780,845,,,,,,,,,,,,,,,
126,18579.5,8,992,946,,,,,,,9,837,1000,,,,,,,7,783,844,,,,,,,,,,,,,,,
127,18623.6,8,992,949,,,,,,,9,836,1001,,,,,,,7,785,843,,,,,,,,,,,,,,,
128,18747.7,8,993,958,,,,,,,9,834,1001,,,,,,,7,791,841,,,,,,,,,,,,,,,
